rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
356,500,4,0.01,log2,0.5,0.8743528631756563,0.8941553855597448
357,100,4,0.05,log2,1.0,0.8750838329756774,0.8949906174949243
358,100,4,0.05,log2,0.75,0.8768628704582319,0.8971693476299779
359,100,10,0.01,0.25,0.5,0.8251003454478727,0.8974815909571471
360,100,4,0.05,log2,0.5,0.8795443470469974,0.8997497883507759
361,200,5,0.01,0.5,1.0,0.8782037061679357,0.8998737800569634
362,500,3,0.05,1,0.75,0.8779934429788452,0.9006307587147019
363,200,5,0.01,0.5,0.5,0.880937793520335,0.9029324065219534
364,100,10,0.01,sqrt,1.0,0.8307490298903663,0.904371697607706
365,100,10,0.01,sqrt,0.75,0.8341153206983568,0.9074272956728466
366,200,5,0.01,0.25,1.0,0.8894409299990881,0.9094892912540974
367,200,5,0.01,0.25,0.5,0.8915875458003982,0.9112188691038887
368,100,3,0.05,0.5,1.0,0.8998023286089936,0.914291155066665
369,500,3,0.01,0.5,0.5,0.9000171738650716,0.9144813108579343
370,100,10,0.01,sqrt,0.5,0.8479846274700285,0.9150241884832382
371,100,3,0.05,0.5,0.75,0.9017388028984059,0.915867036522249
372,100,3,0.05,0.25,0.75,0.9067672917369687,0.9201775185486795
373,500,3,0.01,0.25,1.0,0.9082887059148785,0.9212010442471166
374,500,3,0.01,0.25,0.75,0.9083310303690506,0.9213173548581401
375,500,3,0.01,0.25,0.5,0.9085248693338337,0.9213762756430096
376,100,3,0.05,0.25,1.0,0.9093630375618843,0.9223792056944293
377,200,4,0.05,1,0.5,0.9027374268913776,0.9227197363596813
378,200,4,0.05,1,0.75,0.9020300797717478,0.9232380778751541
379,100,10,0.01,log2,0.75,0.8563759147238498,0.9247029558465052
